facility_id,facility_name,state,condition,discharges,err,predicted_rate,expected_rate,readmissions,worse_than_expected
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,Bypass Surgery (CABG),358,1.2863,15.142,11.7722,61,1
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,Heart Attack (AMI),295,1.1901,17.2513,14.4954,60,1
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,Hip/Knee Replacement,,1.3796,10.358,7.5079,,1
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,Heart Failure (HF),638,0.9861,19.7513,20.0293,125,0
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,Hip/Knee Replacement,,0.8913,4.1609,4.6683,,0
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,Heart Failure (HF),352,0.9659,17.458,18.0752,59,0
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,Heart Attack (AMI),,1.0488,12.9285,12.3267,,1
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,Pneumonia (PN),441,0.9922,14.1743,14.2851,62,0
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,COPD,137,1.0725,17.5077,16.3246,29,1
010036,ANDALUSIA HEALTH,AL,Pneumonia (PN),138,0.9462,14.2068,15.0146,16,0
010036,ANDALUSIA HEALTH,AL,Hip/Knee Replacement,,1.1547,6.3173,5.4708,,1
010036,ANDALUSIA HEALTH,AL,Heart Failure (HF),133,1.0426,21.7269,20.8389,32,1
010036,ANDALUSIA HEALTH,AL,COPD,,0.9647,20.2024,20.9412,,0
010039,HUNTSVILLE HOSPITAL,AL,Bypass Surgery (CABG),273,0.8637,8.6865,10.0572,20,0
010039,HUNTSVILLE HOSPITAL,AL,Hip/Knee Replacement,,1.0436,6.9377,6.6479,,1
010039,HUNTSVILLE HOSPITAL,AL,Heart Attack (AMI),567,0.8965,10.6508,11.8801,55,0
010039,HUNTSVILLE HOSPITAL,AL,COPD,394,0.9689,16.8266,17.3667,64,0
010039,HUNTSVILLE HOSPITAL,AL,Pneumonia (PN),1334,0.9224,14.0411,15.2222,182,0
010039,HUNTSVILLE HOSPITAL,AL,Heart Failure (HF),1218,0.997,19.8047,19.8653,241,0
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,Pneumonia (PN),248,1.0159,16.9093,16.6453,43,1
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,Heart Attack (AMI),,0.9772,12.5369,12.8299,,0
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,Heart Failure (HF),229,0.9563,21.0997,22.0631,45,0
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,Bypass Surgery (CABG),47,1.1728,14.2767,12.1729,11,1
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,COPD,89,0.9967,19.3825,19.4465,17,0
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,Hip/Knee Replacement,,1.1146,5.9928,5.3767,,1
010044,MARION REGIONAL MEDICAL CENTER,AL,Heart Failure (HF),,0.945,17.0702,18.0636,,0
010044,MARION REGIONAL MEDICAL CENTER,AL,Pneumonia (PN),,1.0028,14.443,14.4034,,1
010045,FAYETTE MEDICAL CENTER,AL,Heart Failure (HF),,1.0009,16.5419,16.5277,,1
010045,FAYETTE MEDICAL CENTER,AL,COPD,,1.0117,16.1652,15.9787,,1
010045,FAYETTE MEDICAL CENTER,AL,Pneumonia (PN),,0.9973,14.3354,14.3738,,0
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,Heart Failure (HF),275,1.106,23.0676,20.8569,71,1
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,Hip/Knee Replacement,,1.0344,5.7642,5.5724,,1
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,Heart Attack (AMI),,1.0131,14.1243,13.9419,,1
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,Pneumonia (PN),322,1.1181,17.8297,15.9464,65,1
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,COPD,99,1.0628,18.6955,17.591,23,1
010049,MEDICAL CENTER ENTERPRISE,AL,Hip/Knee Replacement,,0.8186,3.6231,4.4262,,0
010049,MEDICAL CENTER ENTERPRISE,AL,Heart Failure (HF),105,0.9516,16.6277,17.474,14,0
010049,MEDICAL CENTER ENTERPRISE,AL,Pneumonia (PN),146,0.9999,13.7023,13.7034,20,0
010049,MEDICAL CENTER ENTERPRISE,AL,COPD,58,1.0197,16.5552,16.2357,11,1
010052,LAKE MARTIN COMMUNITY HOSPITAL,AL,Pneumonia (PN),,1.0169,15.3222,15.0674,,1
010055,FLOWERS HOSPITAL,AL,Pneumonia (PN),302,1.0375,15.4196,14.8628,49,1
010055,FLOWERS HOSPITAL,AL,Bypass Surgery (CABG),106,1.1266,12.1697,10.802,16,1
010055,FLOWERS HOSPITAL,AL,Hip/Knee Replacement,182,1.3851,6.2042,4.4792,15,1
010055,FLOWERS HOSPITAL,AL,COPD,121,0.9429,17.7033,18.776,17,0
010055,FLOWERS HOSPITAL,AL,Heart Attack (AMI),264,1.083,12.511,11.5523,37,1
010055,FLOWERS HOSPITAL,AL,Heart Failure (HF),322,0.966,18.472,19.1221,57,0
010056,ST VINCENT'S BIRMINGHAM,AL,Heart Attack (AMI),122,1.0865,13.7718,12.6757,21,1
010056,ST VINCENT'S BIRMINGHAM,AL,Pneumonia (PN),393,1.0772,16.2944,15.1266,69,1
010056,ST VINCENT'S BIRMINGHAM,AL,Bypass Surgery (CABG),75,1.0823,11.8986,10.994,11,1
010056,ST VINCENT'S BIRMINGHAM,AL,Hip/Knee Replacement,,1.1136,6.4814,5.82,,1
010056,ST VINCENT'S BIRMINGHAM,AL,COPD,,0.9927,16.7254,16.8485,,0
010056,ST VINCENT'S BIRMINGHAM,AL,Heart Failure (HF),360,0.9837,18.9407,19.2551,67,0
010058,BIBB MEDICAL CENTER,AL,Pneumonia (PN),,0.936,13.3177,14.2282,,0
010059,LAWRENCE MEDICAL CENTER,AL,Pneumonia (PN),,1.0061,16.4814,16.3816,,1
010061,HIGHLANDS MEDICAL CENTER,AL,Pneumonia (PN),124,0.9641,14.0105,14.5315,15,0
010061,HIGHLANDS MEDICAL CENTER,AL,Heart Failure (HF),,0.9478,16.5381,17.4489,,0
010061,HIGHLANDS MEDICAL CENTER,AL,COPD,,1.0124,16.55,16.3472,,1
010065,RUSSELL MEDICAL CENTER,AL,Pneumonia (PN),,0.9283,13.1245,14.1384,,0
010065,RUSSELL MEDICAL CENTER,AL,Heart Attack (AMI),,1.0124,13.5084,13.3432,,1
010065,RUSSELL MEDICAL CENTER,AL,COPD,,1.0214,15.0901,14.7739,,1
010065,RUSSELL MEDICAL CENTER,AL,Heart Failure (HF),71,0.9711,18.4406,18.9892,11,0
010065,RUSSELL MEDICAL CENTER,AL,Hip/Knee Replacement,,0.8224,5.0426,6.1318,,0
010073,CLAY COUNTY HOSPITAL,AL,Pneumonia (PN),,0.9776,12.6753,12.9662,,0
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,Pneumonia (PN),286,0.9763,15.9471,16.3335,44,0
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,Heart Failure (HF),309,0.9929,20.5581,20.7047,63,0
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,COPD,225,0.9637,18.1024,18.7838,38,0
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,Hip/Knee Replacement,195,1.3369,6.4864,4.8517,16,1
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,Heart Attack (AMI),189,1.1594,16.516,14.2458,39,1
010079,ATHENS LIMESTONE HOSPITAL,AL,Heart Failure (HF),132,0.9706,18.2694,18.822,22,0
010079,ATHENS LIMESTONE HOSPITAL,AL,Pneumonia (PN),176,1.0846,15.178,13.9945,32,1
010079,ATHENS LIMESTONE HOSPITAL,AL,Hip/Knee Replacement,,1.0577,5.2252,4.9402,,1
010079,ATHENS LIMESTONE HOSPITAL,AL,COPD,104,1.0154,17.2155,16.9544,19,1
010083,BALDWIN HEALTH,AL,Heart Failure (HF),270,1.0208,19.4535,19.058,54,1
010083,BALDWIN HEALTH,AL,Hip/Knee Replacement,,1.2704,6.189,4.8716,,1
010083,BALDWIN HEALTH,AL,COPD,107,0.9522,15.4148,16.1882,13,0
010083,BALDWIN HEALTH,AL,Pneumonia (PN),257,1.0109,14.8978,14.7365,39,1
010083,BALDWIN HEALTH,AL,Heart Attack (AMI),108,0.974,11.3856,11.6899,11,0
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,Hip/Knee Replacement,,0.9781,6.39,6.5333,,0
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,Heart Failure (HF),351,0.9357,18.1688,19.4183,59,0
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,Pneumonia (PN),447,0.9537,14.5714,15.2795,62,0
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,COPD,118,0.9852,15.3062,15.5361,17,0
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,Heart Attack (AMI),,0.9739,14.9565,15.3571,,0
010086,NORTHWEST MEDICAL CENTER,AL,Pneumonia (PN),,0.9155,13.6151,14.8717,,0
010086,NORTHWEST MEDICAL CENTER,AL,Heart Failure (HF),,1.0125,19.7087,19.4654,,1
010086,NORTHWEST MEDICAL CENTER,AL,COPD,,0.9161,17.9576,19.6032,,0
010087,USA HEALTH UNIVERSITY HOSPITAL,AL,Heart Failure (HF),55,1.0179,19.5004,19.1582,12,1
010087,USA HEALTH UNIVERSITY HOSPITAL,AL,Heart Attack (AMI),,0.9866,13.6703,13.8566,,0
010087,USA HEALTH UNIVERSITY HOSPITAL,AL,Pneumonia (PN),,0.9704,16.1261,16.6179,,0
010089,WALKER BAPTIST MEDICAL CENTER,AL,COPD,92,1.0294,17.2788,16.7853,18,1
010089,WALKER BAPTIST MEDICAL CENTER,AL,Pneumonia (PN),161,0.9647,15.1438,15.6985,22,0
010089,WALKER BAPTIST MEDICAL CENTER,AL,Heart Failure (HF),150,1.02,19.0566,18.6834,30,1
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,Bypass Surgery (CABG),,1.0202,10.4751,10.2678,,1
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,Heart Attack (AMI),104,1.1374,13.972,12.2844,21,1
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,COPD,,0.9477,15.5823,16.4415,,0
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,Hip/Knee Replacement,,0.8727,4.4864,5.1409,,0
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,Pneumonia (PN),221,1.1208,16.4961,14.7188,44,1
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,Heart Failure (HF),290,0.9943,18.7619,18.869,54,0
010092,DCH REGIONAL MEDICAL CENTER,AL,Pneumonia (PN),584,1.066,16.3941,15.3797,100,1
010092,DCH REGIONAL MEDICAL CENTER,AL,Heart Failure (HF),604,1.0331,19.315,18.6969,119,1
010092,DCH REGIONAL MEDICAL CENTER,AL,COPD,270,1.1728,21.7994,18.5871,71,1
010092,DCH REGIONAL MEDICAL CENTER,AL,Heart Attack (AMI),143,1.05,12.9555,12.3382,21,1
010097,ELMORE COMMUNITY HOSPITAL,AL,Pneumonia (PN),,1.0135,14.2264,14.0373,,1
010099,D W MCMILLAN MEMORIAL HOSPITAL,AL,Pneumonia (PN),,0.976,12.8734,13.1904,,0
010099,D W MCMILLAN MEMORIAL HOSPITAL,AL,Heart Failure (HF),,1.0201,18.9299,18.5561,,1
010100,THOMAS HOSPITAL,AL,Hip/Knee Replacement,,0.8285,4.517,5.4521,,0
010100,THOMAS HOSPITAL,AL,Pneumonia (PN),365,1.071,15.4713,14.4454,61,1
010100,THOMAS HOSPITAL,AL,Heart Failure (HF),342,1.0637,20.3273,19.1099,74,1
010100,THOMAS HOSPITAL,AL,Heart Attack (AMI),134,0.9601,11.1955,11.6605,13,0
010100,THOMAS HOSPITAL,AL,Bypass Surgery (CABG),191,1.0243,11.191,10.9258,22,1
010100,THOMAS HOSPITAL,AL,COPD,86,1.0706,19.6305,18.3367,22,1
010101,CITIZENS BAPTIST MEDICAL CENTER,AL,Pneumonia (PN),50,1.1161,18.9243,16.9559,17,1
010101,CITIZENS BAPTIST MEDICAL CENTER,AL,Heart Failure (HF),,0.9837,19.9839,20.3144,,0
010103,PRINCETON BAPTIST MEDICAL CENTER,AL,Hip/Knee Replacement,,0.9279,5.5057,5.9334,,0
010103,PRINCETON BAPTIST MEDICAL CENTER,AL,Pneumonia (PN),106,0.9713,16.9758,17.4766,16,0
010103,PRINCETON BAPTIST MEDICAL CENTER,AL,Heart Failure (HF),232,0.8933,17.7009,19.8152,33,0
010103,PRINCETON BAPTIST MEDICAL CENTER,AL,COPD,,0.9661,17.8746,18.5022,,0
010103,PRINCETON BAPTIST MEDICAL CENTER,AL,Bypass Surgery (CABG),,1.0571,10.7371,10.1573,,1
010103,PRINCETON BAPTIST MEDICAL CENTER,AL,Heart Attack (AMI),129,1.0841,15.3506,14.1595,24,1
010104,GRANDVIEW MEDICAL CENTER,AL,Pneumonia (PN),422,0.9192,14.3502,15.6124,55,0
010104,GRANDVIEW MEDICAL CENTER,AL,Hip/Knee Replacement,305,0.963,4.4023,4.5716,13,0
010104,GRANDVIEW MEDICAL CENTER,AL,COPD,143,0.9375,16.5332,17.6345,19,0
010104,GRANDVIEW MEDICAL CENTER,AL,Heart Failure (HF),621,1.0113,20.3192,20.0927,127,1
010104,GRANDVIEW MEDICAL CENTER,AL,Bypass Surgery (CABG),121,1.1539,12.6147,10.9322,19,1
010104,GRANDVIEW MEDICAL CENTER,AL,Heart Attack (AMI),190,1.1078,15.1086,13.6381,34,1
010108,PRATTVILLE BAPTIST HOSPITAL,AL,Heart Failure (HF),140,1.0447,19.887,19.0366,31,1
010108,PRATTVILLE BAPTIST HOSPITAL,AL,COPD,99,0.9761,17.9704,18.4109,16,0
010108,PRATTVILLE BAPTIST HOSPITAL,AL,Pneumonia (PN),165,0.9958,15.3223,15.3876,25,0
010112,WHITFIELD REGIONAL HOSPITAL,AL,Pneumonia (PN),,0.9399,16.5116,17.5669,,0
010112,WHITFIELD REGIONAL HOSPITAL,AL,Heart Failure (HF),51,1.0366,20.3663,19.6465,13,1
010113,MOBILE INFIRMARY MEDICAL CENTER,AL,Hip/Knee Replacement,,0.9374,4.4668,4.765,,0
010113,MOBILE INFIRMARY MEDICAL CENTER,AL,Bypass Surgery (CABG),,0.992,10.5179,10.6024,,0
010113,MOBILE INFIRMARY MEDICAL CENTER,AL,Pneumonia (PN),394,0.9421,14.9712,15.8921,55,0
010113,MOBILE INFIRMARY MEDICAL CENTER,AL,Heart Failure (HF),384,1.0838,21.8907,20.198,90,1
010113,MOBILE INFIRMARY MEDICAL CENTER,AL,COPD,152,1.096,21.1142,19.2645,39,1
010113,MOBILE INFIRMARY MEDICAL CENTER,AL,Heart Attack (AMI),126,1.028,13.9653,13.585,19,1
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,Pneumonia (PN),170,0.9735,15.1678,15.5807,24,0
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,Heart Failure (HF),91,0.992,20.4295,20.5938,18,0
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,COPD,,0.9245,17.6248,19.0636,,0
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,COPD,,1.005,15.6829,15.6043,,1
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,Pneumonia (PN),95,1.0838,17.4446,16.0952,22,1
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,Heart Failure (HF),,0.9285,17.3805,18.7193,,0
010120,MONROE COUNTY HOSPITAL,AL,Heart Failure (HF),,1.0209,16.3442,16.0103,,1
010120,MONROE COUNTY HOSPITAL,AL,Pneumonia (PN),,1.0336,12.5379,12.1304,,1
010125,LAKELAND COMMUNITY HOSPITAL,AL,Pneumonia (PN),198,0.9675,12.1706,12.5795,22,0
010125,LAKELAND COMMUNITY HOSPITAL,AL,COPD,86,0.9824,15.429,15.7052,12,0
010125,LAKELAND COMMUNITY HOSPITAL,AL,Heart Failure (HF),,1.0081,14.9945,14.8739,,1
010126,TROY REGIONAL MEDICAL CENTER,AL,Heart Failure (HF),,1.0398,17.0072,16.356,,1
010126,TROY REGIONAL MEDICAL CENTER,AL,Pneumonia (PN),,0.9912,12.8636,12.9773,,0
010128,JACKSON MEDICAL CENTER,AL,COPD,,0.9666,12.3246,12.75,,0
010129,NORTH BALDWIN INFIRMARY,AL,Pneumonia (PN),,1.0317,15.4522,14.9774,,1
010129,NORTH BALDWIN INFIRMARY,AL,Heart Failure (HF),,0.9843,18.9328,19.235,,0
010130,ST VINCENT'S ST CLAIR,AL,Pneumonia (PN),121,1.0352,14.6532,14.1547,20,1
010130,ST VINCENT'S ST CLAIR,AL,Heart Failure (HF),53,1.0602,18.614,17.5569,14,1
010130,ST VINCENT'S ST CLAIR,AL,COPD,,0.969,15.2111,15.6972,,0
010131,CRESTWOOD MEDICAL CENTER,AL,COPD,110,0.9929,14.9993,15.1066,16,0
010131,CRESTWOOD MEDICAL CENTER,AL,Hip/Knee Replacement,,0.913,5.2731,5.7753,,0
010131,CRESTWOOD MEDICAL CENTER,AL,Pneumonia (PN),362,1.0923,15.7908,14.4561,63,1
010131,CRESTWOOD MEDICAL CENTER,AL,Heart Failure (HF),255,1.0878,20.7261,19.0534,59,1
010131,CRESTWOOD MEDICAL CENTER,AL,Heart Attack (AMI),123,1.1265,15.3487,13.6249,25,1
010139,BROOKWOOD BAPTIST MEDICAL CENTER,AL,Pneumonia (PN),172,0.9254,14.0022,15.1304,19,0
010139,BROOKWOOD BAPTIST MEDICAL CENTER,AL,Heart Failure (HF),138,1.0023,19.4458,19.4015,27,1
010139,BROOKWOOD BAPTIST MEDICAL CENTER,AL,COPD,,0.9683,15.638,16.1496,,0
010139,BROOKWOOD BAPTIST MEDICAL CENTER,AL,Bypass Surgery (CABG),,0.9206,11.2032,12.17,,0
010139,BROOKWOOD BAPTIST MEDICAL CENTER,AL,Heart Attack (AMI),,0.9717,13.238,13.6238,,0
010144,SPRINGHILL MEDICAL CENTER,AL,Pneumonia (PN),211,0.9833,15.7052,15.9727,32,0
010144,SPRINGHILL MEDICAL CENTER,AL,Bypass Surgery (CABG),,0.9906,11.1469,11.2529,,0
010144,SPRINGHILL MEDICAL CENTER,AL,Heart Failure (HF),233,1.0267,20.6312,20.0939,50,1
010144,SPRINGHILL MEDICAL CENTER,AL,COPD,73,1.0659,17.0108,15.9587,17,1
010144,SPRINGHILL MEDICAL CENTER,AL,Hip/Knee Replacement,,0.9959,4.6513,4.6706,,0
010144,SPRINGHILL MEDICAL CENTER,AL,Heart Attack (AMI),,1.0069,13.1186,13.0293,,1
010148,EVERGREEN MEDICAL CENTER,AL,Pneumonia (PN),80,1.0231,11.9557,11.6855,11,1
010148,EVERGREEN MEDICAL CENTER,AL,Heart Failure (HF),,0.9834,14.0295,14.2661,,0
010148,EVERGREEN MEDICAL CENTER,AL,COPD,,0.9718,12.5915,12.9574,,0
010149,BAPTIST MEDICAL CENTER EAST,AL,COPD,81,0.9918,18.0305,18.1792,14,0
010149,BAPTIST MEDICAL CENTER EAST,AL,Pneumonia (PN),242,1.04,15.456,14.8609,40,1
010149,BAPTIST MEDICAL CENTER EAST,AL,Heart Failure (HF),269,1.1038,21.4628,19.4438,65,1
010149,BAPTIST MEDICAL CENTER EAST,AL,Heart Attack (AMI),,1.0127,12.4984,12.3421,,1
010158,RUSSELLVILLE HOSPITAL,AL,Hip/Knee Replacement,,1.2754,7.913,6.2042,,1
010158,RUSSELLVILLE HOSPITAL,AL,COPD,,0.9954,18.142,18.226,,0
010158,RUSSELLVILLE HOSPITAL,AL,Pneumonia (PN),92,1.0278,14.3681,13.9797,15,1
010164,COOSA VALLEY MEDICAL CENTER,AL,Heart Failure (HF),76,1.0182,16.7733,16.474,14,1
010164,COOSA VALLEY MEDICAL CENTER,AL,COPD,,0.9845,14.1904,14.4139,,0
010164,COOSA VALLEY MEDICAL CENTER,AL,Pneumonia (PN),104,1.1292,16.3326,14.4636,25,1
010168,JACK HUGHSTON MEMORIAL HOSPITAL,AL,Hip/Knee Replacement,,1.0187,4.7519,4.6647,,1
010169,ATMORE COMMUNITY HOSPITAL,AL,Heart Failure (HF),,1.038,17.7477,17.0981,,1
010173,ST VINCENT'S CHILTON,AL,Pneumonia (PN),,0.9608,11.219,11.6762,,0
